activity_id,user_id,timestamp,content,post_country,post_region,post_city,device,platform,likes,comments,shares,hour_of_day,day_of_week,is_weekend,has_media,media_type,character_count,hashtag_count,mention_count,contains_url,content_type,is_fake,language
72a3eb1f-66d8-460d-90fb-7231cc4045d0_30,72a3eb1f-66d8-460d-90fb-7231cc4045d0,2025-04-05 12:30:00,"The secret method that celebrities use to lose weight fast! I lost 1,000 pounds in forever! bit.ly/verify-now #weightloss",69,58,76,5,3,3,1,0,12,5,1,0,2,121,1,0,1,1,1,3
f6522380-f31b-4ecf-b2a8-e57d55a7dd7c_26,f6522380-f31b-4ecf-b2a8-e57d55a7dd7c,2021-07-23 12:47:00,Highlight of my day was definitely catching up with an old friend. 🌟,70,59,77,4,1,37,10,1,12,4,0,1,1,68,0,0,0,2,0,4
66ccdd6f-2f13-41f4-aa1e-e7ace59e5c70_14,66ccdd6f-2f13-41f4-aa1e-e7ace59e5c70,2025-01-18 15:07:00,Life hack: freezing grapes for wine ice cubes. You're welcome! 🙏,71,60,78,4,1,17,8,3,15,5,1,0,2,64,0,0,0,3,0,6
4ab11f3e-e9dc-4bf5-aa94-5bed907d54a1_3,4ab11f3e-e9dc-4bf5-aa94-5bed907d54a1,2022-11-24 17:12:00,Need recommendations for coffee shops in the mountains! Help a friend out.,72,22,79,3,1,2,7,6,17,3,0,1,1,74,0,0,0,2,0,4
dd3a55c6-1fc1-4a3f-a3d9-a250ef612d24_31,dd3a55c6-1fc1-4a3f-a3d9-a250ef612d24,2025-03-15 17:50:00,"The secret method that celebrities use to lose weight fast! I lost 1,000 pounds in so long! login-support.com #weightloss",73,61,80,0,3,1,0,0,17,5,1,1,1,121,1,0,0,1,1,6
77d643ee-f423-4e34-86a1-365d7930a6e6_23,77d643ee-f423-4e34-86a1-365d7930a6e6,2025-03-30 21:05:00,ATTENTION! NFT is about to 🚀 100x in the next three days! DM me for the insider info!,74,62,81,3,2,7,3,0,21,6,1,1,1,85,0,0,0,4,1,0
a1c4b8df-cc00-4d3b-b7ae-6a02ded1aa28_17,a1c4b8df-cc00-4d3b-b7ae-6a02ded1aa28,2024-12-25 15:46:00,Just finished this channel after 6 months! What do you think? #hobby #reading,75,63,82,0,0,16,8,3,15,2,0,0,2,77,2,0,0,11,0,3
7ef4479a-9eb8-4a4c-9caf-5cd00a3ea616_25,7ef4479a-9eb8-4a4c-9caf-5cd00a3ea616,2025-03-31 05:57:00,This investment opportunity is changing lives! Turn $100 into $5000 in two years! login-support.com,76,53,83,1,1,0,0,0,5,0,0,1,1,99,0,0,0,1,1,0
cfc053e3-fa74-4959-be6c-e292ac21f6ad_6,cfc053e3-fa74-4959-be6c-e292ac21f6ad,2025-03-28 23:53:00,I can't believe this works! Made $25 from home in just 6 months! See how: account-verify.net #workfromhome,77,9,84,0,3,0,0,0,23,4,0,0,2,106,1,0,0,1,1,3
6c1aa38d-079f-44f9-96eb-e03a25d9047b_35,6c1aa38d-079f-44f9-96eb-e03a25d9047b,2025-03-09 09:37:00,What does everyone think about the latest tech release? I'm curious to hear opinions.,78,64,85,3,2,15,6,2,9,6,1,1,0,85,0,0,0,2,0,0
bb29de99-93c5-460f-a056-35cb603597f7_2,bb29de99-93c5-460f-a056-35cb603597f7,2025-04-01 01:41:00,So bored and lonely in this hotel room... wish I had company 😘 See more of my travels on my private page 🍑,79,17,86,2,3,0,2,0,1,1,0,1,1,106,0,0,0,0,1,1
89de0d53-5631-4fab-9f4f-ba50914045ce_15,89de0d53-5631-4fab-9f4f-ba50914045ce,2022-04-30 20:15:00,Just posted a new story on my profile! Check it out 🔥,80,12,87,3,1,27,12,6,20,5,1,0,2,53,0,0,0,2,0,0
1eaa48b7-e790-4d20-87c4-6dbfda60c26f_3,1eaa48b7-e790-4d20-87c4-6dbfda60c26f,2022-10-21 16:56:00,Life hack: using a binder clip as a phone stand. You're welcome! 🙏,81,65,88,3,1,3,1,1,16,4,0,1,1,66,0,0,0,3,0,0
29dbcad6-5c14-4445-b813-0a11268a0311_18,29dbcad6-5c14-4445-b813-0a11268a0311,2024-10-13 13:37:00,Just had an amazing salad at our schools! ❤️,82,66,89,3,1,2,1,1,13,6,1,1,1,44,0,0,0,3,0,0
64ef8b67-cfd0-4abc-acef-fc435f409351_4,64ef8b67-cfd0-4abc-acef-fc435f409351,2023-01-15 21:27:00,Just had an amazing steak at our city! 🤩,83,2,90,2,0,2,1,2,21,6,1,1,1,40,0,0,0,3,0,3
e399e703-0e83-465c-932d-fa2701ce0dc2_13,e399e703-0e83-465c-932d-fa2701ce0dc2,2023-08-24 22:49:00,Beautiful day at this hidden spot! #nature #photography 😁,84,67,91,3,2,0,3,0,22,3,0,0,2,57,2,0,0,3,0,0
79e10cd4-d4ac-4f88-b7c4-8068ae043c5d_7,79e10cd4-d4ac-4f88-b7c4-8068ae043c5d,2024-06-05 21:23:00,Finally mastered a complex stitch pattern today! Been trying for 6 months. #painting,85,19,92,2,3,17,1,1,21,2,0,1,1,84,1,0,0,11,0,0
abf9643f-2b2d-4260-baea-79256ecb76ad_22,abf9643f-2b2d-4260-baea-79256ecb76ad,2025-03-22 13:18:00,Thanks to all my fans for your support! You guys are the best. ❤️,39,3,93,2,3,22,1,1,13,5,1,1,1,65,0,0,0,5,1,1
